fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
RobL13.095,Rob13LS.02_95.JPG,lake,Roberts,M,36.26,0.725564751,1.272254197,3.22147685,8.672563251,16.77538824,2.59,12.64062313,1.454062344,6.502662465,5.843264324,3.667126099,1.072933471,5.708116001
RobL13.097,Rob13LS.02_97.JPG,lake,Roberts,F,46.17,1.085615223,1.369307821,3.946420531,10.58787197,16.94921438,2.83,15.60642257,2.351506314,7.796211189,6.8625865,4.337715416,0.907220029,6.748857601
RobL13.098,Rob13LS.02_98.JPG,lake,Roberts,M,34.71,0.680557686,1.156780951,3.210552063,8.656943111,16.9484132,2.52,12.02414872,1.810556721,6.052689581,5.177685631,3.726474331,0.923763528,5.114800429
RobS13.001,RobS13.01_01.JPG,stream,Roberts,F,52.67,0.938917983,1.565005716,4.349364046,10.86219382,15.38878427,3.39,17.21452716,3.031162739,8.505630141,7.466614597,5.095921481,1.152004715,7.406324893
RobS13.002,RobS13.01_02.JPG,stream,Roberts,M,49.72,0.918201859,1.631209956,4.396140172,11.54121446,15.27956528,3.49,16.93311744,3.068184297,8.224124089,7.261377867,5.063781651,0.993140773,7.04793686
RobS13.003,RobS13.01_03.JPG,stream,Roberts,M,49.93,0.944316622,1.533611649,4.427589186,10.90010486,15.23620452,3.9,16.91233419,3.091891682,8.627015561,7.568839573,5.309971141,1.041762419,7.365060333
RobS13.005,RobS13.01_05.JPG,stream,Roberts,M,50.67,0.929465478,1.700633932,4.489102258,12.22874667,15.3166425,4.21,17.42423733,2.945338248,8.844873012,7.912361863,4.971301309,1.076255133,7.866680709
RobS13.007,RobS13.01_07.JPG,stream,Roberts,M,49.76,0.956182455,1.371899997,4.155772728,11.36584269,15.24202558,3.77,16.69437361,2.735894295,8.463306665,7.238243387,5.30105905,1.012218427,7.198950195
RobS13.009,RobS13.01_09.JPG,stream,Roberts,M,42.43,0.777792146,1.112274219,3.521500914,8.147715064,15.46837007,3.17,13.70157771,2.424515651,6.530004975,5.840610556,3.909413907,0.961523105,5.884509895
RobS13.010,RobS13.01_10.JPG,stream,Roberts,F,49.03,0.897359311,1.791807065,4.230904015,10.59923306,15.24211944,3.41,17.39309469,2.760607528,8.443745063,7.26392585,4.785697903,1.290199391,7.169652429
