habitat,watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm,fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
lake,beaver,4.68,5.38,13.89,2.23,10.81,3.07,11.56,2.99,4.21,5.05,16.15,9.53,6.72,25,1474.36,54.78,12.93,4.14,3.69,4.48,4.62,2.43,7.97,6.05,5.23,3.77,0,2.24,53.69,6.31,5,6.51,5,20,20,1.19,1.05,1.07,2.63,BeaL13.014,BeaL13.01_14.JPG,lake,Beaver,F,53.69,1.071904781,1.596430572,4.758430424,12.93370337,15.46522713,4.36,16.94410357,2.27278176,8.851302294,8.939411499,6.400893193,1.169212397,8.750553994
lake,beaver,3.75,4.27,11.72,2.39,8.14,2.6,10.03,2.69,3.94,4.87,14.8,9.3,6.59,24.36,952.52,50.87,12.36,3.58,3.03,3.67,3.9,2.09,5.74,4.67,4.39,3.41,0,1.59,50.57,6.25,6,6.4,6,19,19,1,0.92,0.89,2.44,BeaL13.017,BeaL13.01_17.JPG,lake,Beaver,M,50.57,0.975645151,1.360365662,4.324478586,12.36070107,15.3933098,3.9,15.5473103,2.347789656,8.400776807,8.014254998,6.206820819,1.0065474,7.965117963
lake,beaver,3.28,4.04,9.22,1.45,6.04,1.92,7.75,1.92,2.64,3.56,11.22,5.99,4.06,16.37,630.52,37.56,9.29,2.11,1.61,2.95,3.22,1.63,5.55,4.18,3.53,2.5,0,0.66,36.99,5.18,4,5.06,5,18,18,0.72,0.65,0.67,4.2,BeaL13.019,BeaL13.01_19.JPG,lake,Beaver,F,36.99,0.656313891,1.08259494,3.184426499,9.292263844,15.34936946,4,11.73237786,1.753802989,6.10470439,6.027934849,3.821810527,0.726954339,5.94830083
lake,beaver,3.66,4.21,9.3,1.64,7.37,2.65,8.83,2.21,3.26,4.16,12.9,6.59,5.3,19.36,887.48,43.22,10.53,2.64,2.47,3.07,3.51,1.99,6.59,4.96,3.95,2.52,0,1,42.31,5.14,5,5.68,6,21,21,0.79,0.73,0.84,2.99,BeaL13.020,BeaL13.01_20.JPG,lake,Beaver,unknown,42.31,0.73325573,1.344749709,3.804251113,10.52987805,15.46379988,3.65,13.56409546,1.79530429,7.051261942,6.36964607,5.345065549,0.823835876,6.384258755
lake,beaver,5.02,6.13,14.85,2.41,11.2,3.07,11.32,2.39,4.8,4.99,16.52,10.42,6.6,26.64,1209.75,55.94,14.09,3.7,3.46,4.08,4.57,2.38,9.64,7.75,5.39,3.78,0,2.2,56.76,7.68,4,7.6,5,18,18,1.52,1.47,1.28,2.3,BeaL13.022,BeaL13.01_22.JPG,lake,Beaver,unknown,56.76,1.089949371,1.638381633,4.670625658,14.08533285,15.30814837,3.57,17.2130616,2.629246226,9.954731267,9.294010811,6.622140307,0.812537846,9.012354806
lake,beaver,4.01,4.84,10.87,1.86,7.74,2.44,9.24,1.65,3.45,4.38,13.92,8.61,7,23.6,1307.8,50.51,10.85,3.25,3.84,3.82,4.15,2.44,8.48,7.32,4.55,3.12,0,1.38,49.69,6.97,5,7.08,5,17,17,0.93,1.11,1.02,2.69,BeaL13.025,BeaL13.01_25.JPG,lake,Beaver,F,49.69,0.928539041,1.40443383,3.983349737,10.84679023,15.54608802,3.12,14.69721473,1.939522507,7.603171991,7.207251961,5.519687637,1.208374956,6.998211318
lake,beaver,4.19,4.94,11.43,1.96,7.62,1.76,10.07,2.19,3.34,4.48,13.5,8.94,6.18,22.81,1201.78,49.33,11.81,3.47,3.59,4.29,4.57,2.68,7.86,6.77,4.54,3.21,0,1.71,49.99,6.55,6,6.89,6,17,17,0.99,0.98,1,2.57,BeaL13.031,BeaL13.01_31.JPG,lake,Beaver,F,49.99,0.862077469,1.427267232,4.06364728,11.80508638,15.46979794,3.49,14.64658608,2.038323596,7.821179048,8.29189956,6.239961487,1.131114904,8.091018542
lake,beaver,3.44,3.95,10.37,1.46,7.62,2.76,7.53,1.55,2.55,3.62,10.52,5.32,4.58,15.77,441.3,38.55,9.08,2.52,2.2,2.99,3.22,2.02,6.99,5.12,3.56,2.52,0,0.75,39.09,5.43,5,5.65,6,17,17,0.7,0.67,0.71,3.69,BeaL13.033,BeaL13.01_33.JPG,lake,Beaver,F,39.09,0.662691952,1.150231453,3.244809782,9.081393712,15.43148279,3.76,12.82859964,1.829278789,6.498131866,5.887106928,3.434903974,0.750850254,5.752805104
lake,beaver,4.68,5.62,13.88,2.65,10.05,3.02,10.95,2.66,3.21,5.01,15.06,10.9,7.01,28.13,1780.3,53.89,12.4,3.47,2.51,4.24,4.57,2.33,7.13,6.01,5.51,4.16,0,2.1,52.75,7.07,5,7.18,5,21,21,1.25,1.25,1.13,2.63,BeaL13.034,BeaL13.01_34.JPG,lake,Beaver,F,52.75,0.990728947,1.478794626,4.646664052,12.4016145,15.4675142,3.65,15.73792136,2.450938878,8.934597324,9.459510203,5.487011244,0.890307315,9.269491486
lake,beaver,3.32,3.53,9.54,1.64,7.28,1.86,8.23,2.19,3.17,3.73,11.83,6.63,4.81,17.86,728.43,40.78,9.78,2.53,1.89,2.86,3.42,2.04,6.23,4.5,3.86,2.46,0,0.9,40.75,4.51,4,4.32,4,20,20 top rakers seperated but count confirmed,0.64,0.69,0.75,2.92,BeaL13.036,BeaL13.01_36.JPG,lake,Beaver,F,40.75,0.669462405,1.238641261,3.75506373,9.780211871,15.47316883,4.34,12.63460476,1.603972197,6.51611366,6.754269506,4.236779936,0.997891852,6.65664601
