fishID.univ,n,fishID.lateral,watershed,habitat,watershed.habitat,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,n.1,file.name.ventral,watershed.1,habitat.1,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,FishID.ArmorGills,Watershed,Habitat.L.0..S.1,sequenced.neuro..funct..from.these,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Notes,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,FileName.GillRakerDig,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
FreL13.007,7,FreL13.01_07_side_retake.JPG,frederick,lake,frederick.L,3.27,4.21,10.71,1.35,8.14,2.96,8.21,2.2,3.4,4.34,12.11,5.62,4.39,16.72,444.17,41.34,7,FreL13.01_07.JPG,frederick,lake,9.13,2.27,1.97,3.24,3.59,1.99,8.36,5.58,3.52,2.59,FreL13.01_07,Frederick,0,yes,0.8,41.15,5.95,8,6.22,8,,20,20,FreL13.01_07.JPG,1.03,0.81,0.98,4.5
FreL13.008,8,FreL13.01_08.JPG,frederick,lake,frederick.L,3.93,4.52,10.57,1.47,8.65,2.6,7.72,1.83,3.21,3.61,11.53,5.08,5.39,16.61,454.71,39.16,8,FreL13.01_08.JPG,frederick,lake,8.17,2.43,1.75,2.67,3.08,1.96,7.68,5.08,3.53,2.59,FreL13.01_08,Frederick,0,yes,0.74,38.94,5.92,8,6.12,7,,20,20,FreL13.01_08.JPG,1.07,1,0.78,3.95
FreL13.009,9,FreL13.01_09.JPG,frederick,lake,frederick.L,3.05,3.95,10.48,1.5,8.24,2.29,8.16,2.21,3.26,4,11.97,5.73,5.02,17.49,560.12,40.84,9,FreL13.01_09.JPG,frederick,lake,8.56,2.59,2.38,2.98,3.64,1.96,8.12,5.82,3.62,2.79,FreL13.01_09,Frederick,0,yes,0.84,40.52,6.2,7,6.04,8,,18,9 see Note1,FreL13.01_09.JPG,0.57,0.49,0.3,4.15
FreL13.010,10,FreL13.01_10.JPG,frederick,lake,frederick.L,3.14,3.76,8.95,1.38,7.1,1.96,7.62,1.63,2.68,3.49,10.33,4.6,3.79,14.01,303.55,38.03,10,FreL13.01_10.JPG,frederick,lake,6.99,1.87,1.88,2.92,3.15,1.94,8.28,5.89,3.06,2.13,FreL13.01_10,Frederick,0,yes,0.65,38,5.68,7,5.7,8,,22,20 two along top left behind; count confirmed,FreL13.01_10.JPG,0.89,0.85,0.71,4.71
FreL13.011,11,FreL13.01_11.JPG,frederick,lake,frederick.L,3.2,3.96,10.42,1.62,7.58,2.86,8.11,2.4,3.3,4.18,12.11,4.65,4.38,14.36,369.87,40.26,11,FreL13.01_11.JPG,frederick,lake,8.22,2.58,2.25,3.13,3.62,2.16,7.62,5.62,3.68,2.68,FreL13.01_11,Frederick,0,yes,0.82,40.13,6.07,7,6.33,8,,20,17 three along bottom left behind; count confirmed,FreL13.01_11a.JPG,1,0.96,0.95,3.95
FreL13.012,12,FreL13.01_12.JPG,frederick,lake,frederick.L,4.84,5.66,12.99,1.82,9.28,3.1,9.83,2.79,4.45,4.73,15.18,8.04,6,22.23,798.55,49.31,12,FreL13.01_12.JPG,frederick,lake,10.68,2.79,2.14,3.83,4.25,2.74,10.01,6.74,3.68,2.73,FreL13.01_12,Frederick,0,yes,1.29,48.93,8.36,7,8.19,7,,20,20,FreL13.01_12.JPG,1.32,1.27,1.23,2.99
FreL13.013,13,FreL13.01_13.JPG,frederick,lake,frederick.L,4.46,4.64,12.82,1.51,9.29,1.68,8.45,2.53,3.37,4.33,12.73,6.36,6.36,20.06,719.76,43.71,13,FreL13.01_13.JPG,frederick,lake,9.08,2.4,1.41,2.73,3.61,1.87,9.03,6.12,2.82,2.19,FreL13.01_13,Frederick,0,yes,0.83,43.35,7.09,7,7.3,8,,19,17 two along top left behind; count confirmed,FreL13.01_13.JPG,1.23,0.98,1,3.82
FreL13.014,14,FreL13.01_14.JPG,frederick,lake,frederick.L,2.86,3.56,9.23,1.37,6.99,2.74,7.37,1.96,2.68,3.7,10.86,5.49,4.17,15.7,459.07,37.68,14,FreL13.01_14.JPG,frederick,lake,7.71,1.93,1.26,2.88,3.01,1.62,7.11,4.66,2.97,1.96,FreL13.01_14,Frederick,0,yes,0.62,37.63,5.33,7,5.54,8,,21,21,FreL13.01_14.JPG,0.95,0.91,0.89,4.12
FreL13.015,15,FreL13.01_15_side_retake.JPG,frederick,lake,frederick.L,2.75,3.6,8.16,1.4,5.53,1.88,6.8,1.07,2.09,3.32,9.36,5.47,3.49,14.96,317.28,34.94,15,FreL13.01_15.JPG,frederick,lake,6.92,1.96,1.37,2.62,3.04,1.58,6.12,4.88,2.71,1.98,FreL13.01_15,Frederick,0,no,0.54,34.72,4.84,7,5.2,8,,17,17,FreL13.01_15.JPG,0.69,0.7,0.73,4.95
FreL13.016,16,FreL13.01_16_side_retake.JPG,frederick,lake,frederick.L,2.93,3.76,9.37,1.49,6.89,1.81,7.86,2.1,3.27,3.94,11.89,6.32,4.81,18.05,504.9,39.81,16,FreL13.01_16.JPG,frederick,lake,8.1,2.14,1.42,2.8,3.48,1.62,6.92,5.14,2.69,2.2,FreL13.01_16,Frederick,0,no,0.67,39.16,5.58,7,5.5,8,,18,18,FreL13.01_16.JPG,0.91,0.85,0.86,3.95
FreL13.017,17,FreL13.01_17.JPG,frederick,lake,frederick.L,2.78,3.11,7.32,1.14,4.67,2.28,7.04,2.08,2.55,3.92,9.87,3.84,3.89,13.59,350.75,34.39,17,FreL13.01_17.JPG,frederick,lake,7.24,1.57,1.59,2.5,2.92,1.8,5.37,4.71,2.52,2.05,FreL13.01_17,Frederick,0,no,0.53,34.74,4.62,6,4.61,6,,21,21,FreL13.01_17.JPG,0.73,0.71,0.61,4.68
FreL13.018,18,FreL13.01_18.JPG,frederick,lake,frederick.L,3.07,3.93,9.51,1.64,7.17,2.96,7.57,2.02,2.88,3.79,10.93,5.31,5.23,17.53,538.93,38.97,18,FreL13.01_18.JPG,frederick,lake,8.42,2.41,1.9,2.74,3.16,1.9,8.13,5.34,3,2.39,FreL13.01_18,Frederick,0,yes,0.71,38.6,5.97,8,6.08,8,,21,21,FreL13.01_18a.JPG,0.88,1.07,0.77,4.45
FreL13.019,19,FreL13.01_19.JPG,frederick,lake,frederick.L,4.05,4.16,10.71,1.64,7.88,2.15,8.05,2.53,3.6,4.04,12.35,4.46,4.59,15.96,417.8,41.96,19,FreL13.01_19.JPG,frederick,lake,9.28,2.55,1.5,2.86,3.62,2.26,8.28,5.99,3.32,2.49,FreL13.01_19,Frederick,0,no,0.84,41.66,6.41,8,6.33,8,,19,19,FreL13.01_19.JPG,0.9,0.78,0.79,3.64
FreL13.020,20,FreL13.01_20.JPG,frederick,lake,frederick.L,4.68,5.45,14.32,1.86,9.75,3,9.39,2.32,3.98,4.62,14.01,6.5,6.07,20.33,715,48.25,20,FreL13.01_20.JPG,frederick,lake,9.71,2.67,2,2.93,4.12,2.95,10.42,7.36,3.49,2.51,FreL13.01_20,Frederick,0,yes,1.12,47.52,8.04,9,7.84,8,,19,15 four along bottom left behind; count confirmed,FreL13.01_20.JPG,1.29,1.33,1.31,3.2
FreL13.021,21,FreL13.01_21.JPG,frederick,lake,frederick.L,4.32,4.72,12.06,1.56,9.31,2.89,9.19,2.19,3.22,4.32,12.4,5.69,5.15,17.54,566.86,47.47,21,FreL13.01_21.JPG,frederick,lake,8.32,2.61,2.26,4.29,4.54,2.81,9.45,6.7,4,3.03,FreL13.01_21,Frederick,0,no,1.33,46.9,6.5,7,6.75,8,,20,20,FreL13.01_21.JPG,1,0.91,1.02,3.39
FreL13.022,22,FreL13.01_22.JPG,frederick,lake,frederick.L,4.55,4.84,11.79,1.8,9.15,2.42,8.46,2.51,3.76,4.42,13.41,6.92,6.24,20.24,725.61,44.85,22,FreL13.01_22.JPG,frederick,lake,9.08,2.64,2.2,3.3,3.64,2.18,9.01,6.16,3.27,2.21,FreL13.01_22,Frederick,0,yes,0.9,43.16,6.72,8,6.68,8,,20,16 four along bottom left behind; count confirmed,FreL13.01_22.JPG,1.14,1.22,1.2,3.75
FreL13.023,23,FreL13.01_23.JPG,frederick,lake,frederick.L,3.4,3.86,9.69,1.56,7.33,2.25,6.91,1.92,2.81,3.46,10.9,5.16,4.82,16.57,442.45,37.7,23,FreL13.01_23.JPG,frederick,lake,7.65,2.21,1.39,2.33,3.08,2,7.38,5.1,3.15,2.38,FreL13.01_23,Frederick,0,no,0.6,37.87,5.56,8,5.09,8,,19,19,FreL13.01_23.JPG,1.03,0.95,1.09,4.06
FreL13.024,24,FreL13.01_24.JPG,frederick,lake,frederick.L,4.62,5.68,12.84,1.63,8.08,2.04,9.47,2.35,3.32,4.41,13.18,6.56,6.54,21.04,789.64,48.45,24,FreL13.01_24.JPG,frederick,lake,9.67,2.43,1.78,3.15,4.42,2.72,10.61,7.28,3.46,2.55,FreL13.01_24,Frederick,0,no,1.28,48.79,8.39,8,8.25,8,,20,17 three along bottom left behind; count confirmed,FreL13.01_24.JPG,1.32,1.2,1.25,3.3
FreL13.025,25,FreL13.01_25.JPG,frederick,lake,frederick.L,3.5,3.93,9.92,1.29,7.49,2.29,7.5,1.51,3.01,3.66,10.73,5.57,5.05,16.34,506.09,37.58,25,FreL13.01_25.JPG,frederick,lake,8.26,2.28,1.49,2.65,3.07,1.86,6.75,4.56,3.19,2.41,FreL13.01_25,Frederick,0,no,0.63,37.28,4.83,7,5.42,7,,21,21,FreL13.01_25.JPG,0.93,0.78,0.88,4.27
FreL13.026,26,FreL13.01_26.JPG,frederick,lake,frederick.L,3.26,4.13,12.9,1.5,7.25,2.08,7.76,2.45,3.37,3.86,11.74,6.22,4.94,17.67,540.27,39.11,26,FreL13.01_26.JPG,frederick,lake,8.37,2.13,1.33,2.46,3.15,2.09,7.53,5.34,2.73,1.85,FreL13.01_26,Frederick,0,yes,0.63,39.09,5.53,7,5.72,6,,20,18 two along bottom left; count confirmed,FreL13.01_26.JPG,1.09,1.03,1.04,4.23
FreL13.027,27,FreL13.01_27.JPG,frederick,lake,frederick.L,3.16,3.68,8.97,1.67,7.51,2.38,7.45,2.51,2.95,3.9,11.26,4.11,4.84,16.06,391.98,37.88,27,FreL13.01_27_ventral_retake.JPG,frederick,lake,7.87,2.49,2.29,2.64,3.46,1.74,6.56,4.65,3.57,2.65,FreL13.01_27,Frederick,0,no,0.65,37.34,5.03,7,4.89,7,,19,19,FreL13.01_27.JPG,0.68,0.74,0.77,3.93
FreL13.028,28,FreL13.01_28.JPG,frederick,lake,frederick.L,3.39,3.89,9.94,1.33,7.6,2.57,7.83,2.2,3.48,4.03,12.28,7.33,5.1,19.67,679.94,40.33,28,FreL13.01_28_ventral_retake.JPG,frederick,lake,9.6,3.02,2.69,3.22,3.56,2.13,7,5.37,3.43,2.66,FreL13.01_28,Frederick,0,no,0.77,40.02,5.5,6,5.49,7,,19,19,FreL13.01_28.JPG,0.84,0.78,0.88,4.06
FreL13.029,29,FreL13.01_29.JPG,frederick,lake,frederick.L,3.07,3.22,10.36,1.42,7.65,2.14,7.14,1.78,3.02,4.15,11.4,4.03,3.61,13.47,298.26,38.3,29,FreL13.01_29b.JPG,frederick,lake,8.35,2.31,1.82,2.68,3.23,1.92,7.35,5.17,2.93,2.04,FreL13.01_29,Frederick,0,no,0.63,38.35,5.35,8,5.2,8,,21,21,FreL13.01_29.JPG,1.03,0.8,0.9,4.3
FreL13.030,30,FreL13.01_30_side_retake.JPG,frederick,lake,frederick.L,3.9,4.08,11.67,1.4,8.5,2.28,8.24,2.45,3.35,4.53,12.84,6.29,5.75,19.36,558.22,43.76,30,FreL13.01_30.JPG,frederick,lake,8.65,2.24,1.91,2.73,3.46,2.04,8.03,5.79,3.48,2.34,FreL13.01_30,Frederick,0,yes,0.9,43.19,6.27,8,6.36,8,,20,20,FreL13.01_30.JPG,1.13,1.13,1.18,3.6
FreL13.031,31,FreL13.01_31_side_retake.JPG,frederick,lake,frederick.L,3.99,4.16,10.92,1.48,7.49,2.3,8.49,2.06,3.37,4.28,12.34,7.7,5.46,20.61,677.54,41.25,31,FreL13.01_31.JPG,frederick,lake,8.82,2.22,1.71,3.14,3.54,2.22,7.76,5,3.42,2.62,FreL13.01_31,Frederick,0,yes,0.8,40.28,6.45,8,6.52,7,,19,17 two along top left behind; count confirmed,FreL13.01_31.JPG,1.12,1.05,1.07,4.34
FreL13.032,32,FreL13.01_32.JPG,frederick,lake,frederick.L,2.97,3.53,9.18,1.5,6.67,2.21,7.98,1.9,3.23,3.84,11.69,5.6,4.89,17.08,529.47,38.71,32,FreL13.01_32.JPG,frederick,lake,8.97,2.44,1.99,2.68,3.33,1.75,7.66,5.76,3.44,2.53,FreL13.01_32,Frederick,0,no,0.72,38.34,5.03,6,5.07,6,,21,21,FreL13.01_32.JPG,0.93,0.91,0.9,4.2
FreL13.033,33,FreL13.01_33.JPG,frederick,lake,frederick.L,4.06,4.57,11.29,1.5,8.92,1.89,8.68,2.32,3.19,4.57,12.57,6.98,6.09,19.9,698.89,42.9,33,FreL13.01_33.JPG,frederick,lake,8.91,2.31,1.81,2.99,3.35,1.95,8.29,5.41,3.36,2.32,FreL13.01_33,Frederick,0,yes,0.86,42.94,6.33,8,6.35,8,,20,18 two along bottom left behind; count confirmed,FreL13.01_33.JPG,1.26,1.14,1.28,3.51
FreL13.034,34,FreL13.01_34.JPG,frederick,lake,frederick.L,3.7,4.31,12.03,1.58,9.28,2.45,9.18,2.32,3.45,4.26,12.59,7.45,5.24,20.88,736.93,45.12,34,FreL13.01_34.JPG,frederick,lake,8.94,2.57,2.2,4.2,4.44,2.07,8.22,6.21,3.93,2.57,FreL13.01_34,Frederick,0,no,1.3,44.46,6.65,7,6.58,7,,22,22,FreL13.01_34.JPG,1.16,1.17,1.23,4.02
FreL13.035,35,FreL13.01_35.JPG,frederick,lake,frederick.L,4.43,4.88,12.23,1.86,8.82,2.47,9.36,2.38,3.44,4.51,13.15,6.81,6.11,20.57,695.16,46.92,35,FreL13.01_35.JPG,frederick,lake,9.74,2.53,2.03,3.89,3.86,2.29,9.64,6.45,3.29,2.49,FreL13.01_35,Frederick,0,yes,1.1,45.94,6.95,8,7.07,8,,20,20,FreL13.01_35.JPG,1.24,1.26,1.2,3.36
FreL13.036,36,FreL13.01_36_side_retake.JPG,frederick,lake,frederick.L,3.2,3.39,9.21,1.33,6.87,2.01,7.61,2.22,2.81,3.84,10.77,5.29,4.22,16.07,395.68,37.53,36,FreL13.01_36.JPG,frederick,lake,7.58,2.19,1.88,2.72,2.97,1.66,7,4.63,3.36,2.28,FreL13.01_36,Frederick,0,no,0.62,37.64,5.37,7,5.06,8,,20,20,FreL13.01_36.JPG,0.92,0.85,0.82,4.6
FreL13.037,37,FreL13.01_37.JPG,frederick,lake,frederick.L,3.85,4.43,9.2,1.48,6.92,1.97,7.27,2.04,3.1,3.53,11.23,5.86,4.08,16.71,498.71,37.38,37,FreL13.01_37.JPG,frederick,lake,7.66,2.05,1.98,2.38,3.46,1.46,7.3,5.08,3.38,2.6,FreL13.01_37,Frederick,0,no,0.65,37.07,5.99,9,6.3,10,,19,17 two along bottom left behid; count confirmed,FreL13.01_37.JPG,0.94,0.91,0.86,4.01
FreL13.038,38,FreL13.01_38.JPG,frederick,lake,frederick.L,4.17,4.76,12.47,1.82,9.74,2.82,8.84,2.86,4.05,4.4,13.83,6.21,6.91,20.25,686.58,46.71,38,FreL13.01_38.JPG,frederick,lake,10.4,2.56,1.75,3.18,3.81,2.52,8.95,6.3,3.54,2.29,FreL13.01_38,Frederick,0,yes,1.11,46.68,6.78,8,7.04,8,,20,18 two along bottom left behid; count confirmed,FreL13.01_38.JPG,1.13,1.15,1.17,3.42
FreL13.039,39,FreL13.01_39.JPG,frederick,lake,frederick.L,3.02,3.78,9.07,1.45,6.82,2.38,7.28,1.99,2.58,3.53,10.73,4.81,4.08,14.83,351.13,36.6,39,FreL13.01_39.JPG,frederick,lake,7.88,2.05,1.54,2.26,2.76,1.7,7.11,4.97,3.13,2.18,FreL13.01_39,Frederick,0,no,0.6,36.42,5.19,8,5.4,7,,21,21,FreL13.01_39.JPG,0.87,0.81,0.84,4.7
FreL13.040,40,FreL13.01_40_side_retake.JPG,frederick,lake,frederick.L,3.26,3.94,9.36,1.53,8.45,2.69,8.01,2.63,2.93,4.06,11.4,6.29,5.56,18.34,544.66,39.02,40,FreL13.01_40.JPG,frederick,lake,8.44,2.36,1.94,2.66,3.32,1.96,7.58,5.1,3.15,2.54,FreL13.01_40,Frederick,0,yes,0.72,38.58,5.78,8,5.84,8,,22,22,FreL13.01_40.JPG,1,0.97,1.03,3.97
FreS13.001,1,FreS13.01_01.JPG,frederick,stream,frederick.S,4.14,4.66,11.49,2.45,8.19,2.81,11.9,3.1,4.06,4.83,15.33,9.22,5.82,24.25,1117.82,47.56,1,FreS13.01_01.JPG,frederick,stream,11,3.37,2.97,4.8,5.4,3.49,9.72,6.84,4.57,3.61,FreS13.01_01,Frederick,1,yes,1.83,46.38,6.17,7,6.14,9,,20,20,FreS13.01_01.JPG,0.87,0.9,0.81,3.27
FreS13.002,2,FreS13.01_02.JPG,frederick,stream,frederick.S,4.47,4.82,12.11,2.51,8.6,3.31,11.97,1.85,4.67,4.56,16.12,9.16,7.26,26.06,1262.88,49.83,2,FreS13.01_02.JPG,frederick,stream,11.38,4.6,3.66,5.61,6.08,3.87,10.4,7.89,4.57,3.43,FreS13.01_02,Frederick,1,yes,2.04,48.69,6.13,8,6.83,8,,18,18,FreS13.01_02.JPG,1.14,1.1,1.18,2.43
FreS13.003,3,FreS13.01_03.JPG,frederick,stream,frederick.S,4.99,5.75,14.69,2.49,9.44,3.66,14.41,2.36,4.46,4.6,16.4,10.21,6.32,26.28,1267.65,59.28,3,FreS13.01_03.JPG,frederick,stream,11.72,4.72,3.95,7.14,8.05,6.74,14.1,10.4,4.82,1.95,FreS13.01_03,Frederick,1,yes,3.58,57.92,8.04,7,7.98,6,,19,19,FreS13.01_03.JPG,0.99,0.99,0.97,2.49
FreS13.004,4,FreS13.01_04.JPG,frederick,stream,frederick.S,4.42,4.38,10.32,2.08,6.6,2.62,10.16,1.65,3.81,3.56,12.99,8.34,4.75,21.18,851.78,42.56,4,FreS13.01_04.JPG,frederick,stream,10.1,3.3,2.59,4.16,4.79,3.18,9.16,6.66,3.72,3.14,FreS13.01_04,Frederick,1,no,1.17,41.34,7.26,7,7.4,8,,18,18,FreS13.01_04.JPG,1,0.86,0.99,3.04
FreS13.005,5,FreS13.01_05.JPG,frederick,stream,frederick.S,5.27,6.17,13.17,2.64,9.79,2.93,11.76,2.63,3.75,3.76,14.01,8.69,6.42,24.03,1084.47,47.09,5,FreS13.01_05.JPG,frederick,stream,11.39,3.75,3.59,5.62,5.9,4.05,11.21,7.38,4.97,3.38,FreS13.01_05,Frederick,1,no,1.87,46.83,6.91,7,7.73,7,,16,17 one raker on top of mouth that I couldnt initially see,FreS13.01_05.JPG,0.99,1,0.89,2.96
FreS13.006,6,FreS13.01_06.JPG,frederick,stream,frederick.S,4.57,5.38,17.76,2.91,12.53,2.66,15.92,3.67,5.74,5.71,20.42,11.13,8,30.07,1736.57,63.2,6,FreS13.01_06.JPG,frederick,stream,15.04,4.87,3.97,7.19,7.5,5.32,12.47,9.38,5,3.63,FreS13.01_06,Frederick,1,yes,3.89,60.73,7.54,9,7.71,9,,18,18,FreS13.01_06.JPG,1.47,1.41,1.38,2.26
FreS13.007,7,FreS13.01_07.JPG,frederick,stream,frederick.S,5.96,6.12,13.71,2.46,8.76,3.37,12.81,3,5.06,4.4,17.05,7.38,5.88,22.32,912.68,54.39,7,FreS13.01_07.JPG,frederick,stream,12.84,3.51,2.75,5.73,6.3,4.81,11.29,8.05,4.53,3.42,FreS13.01_07,Frederick,1,yes,2.23,53.18,7.4,6,7.95,6,,19,19,FreS13.01_07.JPG,1.11,1.1,1.1,2.77
FreS13.008,8,FreS13.01_08.JPG,frederick,stream,frederick.S,4.98,6.49,14.84,2.32,10.42,2.83,13.21,2.16,4.4,4.15,15.61,8.87,6.77,23.98,1076.8,56.62,8,FreS13.01_08.JPG,frederick,stream,11.24,3.65,3.26,5.51,6.65,4.58,11.18,8.28,4.76,3.42,FreS13.01_08,Frederick,1,no,2.76,54.89,7.68,8,7.8,8,,17,17,FreS13.01_08.JPG,0.97,0.86,0.83,2.69
FreS13.009,9,FreS13.01_09.JPG,frederick,stream,frederick.S,3.91,4.56,9.39,1.87,7.37,2.05,9.38,1.75,3.21,3.21,11.7,5.79,4.59,18.03,527.45,39.95,9,FreS13.01_09.JPG,frederick,stream,8.69,2.6,2.37,3.89,4.26,3.06,8.12,5.4,3.8,2.76,FreS13.01_09,Frederick,1,no,0.95,39.65,6.61,8,5.52,9,,18,18,FreS13.01_09.JPG,0.92,0.78,0.88,3.09
FreS13.010,10,FreS13.01_10.JPG,frederick,stream,frederick.S,4.39,4.43,8.81,1.68,6.37,2.31,9.02,1.8,2.8,3.42,11.6,5.89,4.57,17.13,564.25,39.78,10,FreS13.01_10.JPG,frederick,stream,9.17,2.63,2.09,3.97,4.34,2.97,7.46,5.26,3.77,2.6,FreS13.01_10,Frederick,1,no,0.89,38.86,5.86,7,6,8,,18,18,FreS13.01_10.JPG,0.69,0.69,0.68,4.26
FreS13.011,11,FreS13.01_11.JPG,frederick,stream,frederick.S,4.72,5.06,12.08,2.23,8.79,2.84,11.49,3,4.4,4.42,15.04,8.13,5.66,22.58,968.99,49.93,11,FreS13.01_11.JPG,frederick,stream,11.77,3.42,2.58,5.04,5.5,4.15,9.96,6.72,4.84,3.36,FreS13.01_11,Frederick,1,yes,1.91,48.68,6.44,9,6.4,8,,17,17,FreS13.01_11.JPG,1.13,1.08,1.16,2.36
FreS13.012,12,FreS13.01_12.JPG,frederick,stream,frederick.S,4.77,5.44,13.26,2.32,9.27,3.69,12.29,2.52,4.71,4.51,15.85,9.69,6.38,25.08,1159.43,51.89,12,FreS13.01_12.JPG,frederick,stream,12.66,3.58,3.32,5.7,5.69,4.01,11.37,7.71,4.55,3.18,FreS13.01_12,Frederick,1,yes,2.21,50.82,7.15,9,7.35,10,,18,19 one raker on top that I couldnt initially see,FreS13.01_12.JPG,1.12,1.09,0.99,2.9
FreS13.013,13,FreS13.01_13.JPG,frederick,stream,frederick.S,4.77,5.63,15.15,2.47,8.53,2.78,14.3,2.55,4.3,4.47,16.09,9.34,6.61,25.69,1244.3,56.57,13,FreS13.01_13.JPG,frederick,stream,11.77,3.39,2.76,7.46,7.43,5.97,12.73,9.9,4.74,3.62,FreS13.01_13,Frederick,1,yes,3.33,55.29,7.27,10,7.43,10,,18,18,FreS13.01_13.JPG,1.1,0.99,0.89,2.26
FreS13.014,14,FreS13.01_14_side_retake.JPG,frederick,stream,frederick.S,4.24,4.46,12.6,2.39,8.77,3.06,12.37,2.75,3.95,4.46,15.01,7.1,5.57,20.39,663.87,48.32,14,FreS13.01_14.JPG,frederick,stream,11.72,3.41,2.86,5.53,4.67,2.67,9.04,6.83,4.1,2.9,FreS13.01_14,Frederick,1,yes,1.95,47.43,5.9,8,6.31,9,,17,17,FreS13.01_14.JPG,1.06,1,1.14,2.75
FreS13.015,15,FreS13.01_15.JPG,frederick,stream,frederick.S,4.75,4.89,11.65,2.14,8.01,2.61,10.79,2.16,3.98,3.67,13.68,6.62,5.93,19.88,718.15,44.43,15,FreS13.01_15.JPG,frederick,stream,9.92,3.05,2.52,4.94,5.23,3.78,10.17,7.17,4.39,3.09,FreS13.01_15,Frederick,1,no,1.44,43.68,6.52,7,6.91,7,,15,15,FreS13.01_15.JPG,0.96,0.96,0.87,3.23
FreS13.016,16,FreS13.01_16.JPG,frederick,stream,frederick.S,5.2,6.73,16.62,2.75,9.76,3.55,15.05,2.72,5.25,4.87,18.64,10.88,7.43,29.39,1651.38,63.55,16,FreS13.01_16.JPG,frederick,stream,14.26,4.43,4.72,6.83,8.2,6.49,13.09,11.23,5,3.49,FreS13.01_16,Frederick,1,yes,3.93,62.71,8.93,27,8.89,27,,17,17,FreS13.01_16.JPG,0.88,0.78,0.67,2.29
FreS13.017,17,FreS13.02_17.JPG,frederick,stream,frederick.S,4.73,5.89,15.43,2.6,10.09,3.7,14.07,1.93,4.43,4.64,16.04,10.32,6.9,27,1332.53,59.1,17,FreS13.01_17.JPG,frederick,stream,11.46,4.38,4.59,6.48,7.17,4.91,12.42,9.14,4.72,3.22,FreS13.01_17,Frederick,1,yes,3.35,56.27,7.44,7,7.55,8,,17,17,FreS13.01_17.JPG,0.87,0.84,0.82,2.3
FreS13.018,18,FreS13.02_18.JPG,frederick,stream,frederick.S,4.42,5.16,10.84,2.39,8.61,2.39,11.96,2.61,4.47,4,14.78,7.9,6.17,22.24,943.36,48.78,18,FreS13.01_18.JPG,frederick,stream,11.47,3.61,3.32,5.16,5.55,3.55,10.25,7.45,4.22,3.25,FreS13.01_18,Frederick,1,yes,1.76,47.32,6.93,26,7.05,26,,17,17,FreS13.01_18.JPG,1.07,0.98,0.97,3.18
FreS13.019,19,FreS13.02_19.JPG,frederick,stream,frederick.S,4.22,4.92,13.18,2.35,9.27,3.67,12.08,2.52,4.59,4.22,15.27,8.85,5.68,23.21,1011.56,49.63,19,FreS13.01_19.JPG,frederick,stream,11.41,3.67,3.52,5.28,6.06,3.82,10.62,7.62,4.74,3.46,FreS13.01_19,Frederick,1,yes,2.11,48.44,6.8,8,7,8,,17,17,FreS13.01_19.JPG,1.2,1.28,1.1,2.98
FreS13.020,20,FreS13.02_20.JPG,frederick,stream,frederick.S,4.96,5.53,14.1,2.48,9.8,3.08,14.09,2.48,4.23,4.35,15.71,9.03,6,25.88,1223.69,55.97,20,FreS13.01_20.JPG,frederick,stream,10.89,3.88,4.2,6.19,6.88,5.07,11.69,9.48,4.42,3.04,FreS13.01_20,Frederick,1,yes,3.12,54.94,7.34,10,7.53,8,,20,20,FreS13.01_20.JPG,1.11,1.06,1.05,2.7
FreS13.021,21,FreS13.02_21.JPG,frederick,stream,frederick.S,4.95,5.26,11.55,2.17,8.63,3.07,11.59,2.32,4.32,3.94,14.58,8.78,6.11,23.03,945.37,50.21,21,FreS13.01_21.JPG,frederick,stream,11,3.23,2.83,5.14,5.94,3.91,10.09,7.23,4.35,3.29,FreS13.01_21,Frederick,1,yes,1.75,48.52,7.19,10,7.01,11,,19,19,FreS13.01_21.JPG,0.88,0.78,0.81,3.24
FreS13.022,22,FreS13.02_22_side_retake.JPG,frederick,stream,frederick.S,4.32,4.55,13.62,2.41,7.37,3.06,13.32,2.07,4.31,4.69,15.65,10.11,6.48,25.86,1166.5,54.12,22,FreS13.01_22.JPG,frederick,stream,11.01,3.77,4.3,5.49,6.51,4.79,11.12,8.7,4.7,3.52,FreS13.01_22,Frederick,1,yes,2.65,52.61,6.78,10,6.73,8,,15,17 two clear rakers on bottom of mouth that I didnt see,FreS13.01_22.JPG,1.06,1.14,1.02,2.76
